,日期,收盤價,漲跌價,漲跌幅,成交量(張),外資買賣進(張),投信買賣超,自營商買賣超,成交筆數,淨值(元),加權指數,加權指數成交量,0050聲量,nasdaQ Close,nasdaQ Volume,SP 500 Close,SP 500 Volume,大戶散戶比例
10,2023-04-21,118.6,-0.3,-0.0025,5327.0,-1642.0,-200.0,-827.0,11296.0,118.41,15602.99023,3512500,74.0,12072.45996,4868050000,4133.52002,3611750000,0.4715828611898017
11,2023-04-24,118.15,-0.45,-0.0038,7309.0,-4242.0,-150.0,-762.0,16153.0,118.18,15626.87012,2474500,74.0,12037.2002,4854050000,4137.040039,3290940000,0.45248560638890606
12,2023-04-25,116.6,-1.55,-0.0131,21039.0,-14533.0,0.0,-3208.0,50500.0,116.33,15370.73047,3449300,72.0,11799.16016,4806020000,4071.629883,3978640000,0.4166138613861386
13,2023-04-26,116.1,-0.5,-0.0043,14210.0,-6531.0,150.0,-3690.0,27918.0,115.81,15374.62988,2745800,70.0,11854.34961,5281970000,4055.98999,3837030000,0.5089906153735941
14,2023-04-27,116.0,-0.1,-0.0009,10274.0,-6574.0,0.0,-1175.0,16910.0,116.07,15411.49023,2616700,68.0,12142.24023,5253710000,4135.350098,3750550000,0.6075694855115317
15,2023-04-28,117.4,1.4,0.0121,6023.0,-2734.0,0.0,135.0,8752.0,117.48,15579.17969,2999300,66.0,12226.58008,5331380000,4169.47998,4087800000,0.6881855575868373
16,2023-05-02,117.7,0.3,0.0026,5573.0,-736.0,-1050.0,-957.0,9964.0,117.6,15636.48047,2915700,61.42857142857143,12080.50977,5501410000,4119.580078,4486130000,0.559313528703332
17,2023-05-03,117.2,-0.5,-0.0042,4652.0,-1820.0,0.0,-1415.0,13074.0,116.97,15553.41016,2511600,61.142857142857146,12025.33008,5782160000,4090.75,4246510000,0.3558207128652287
18,2023-05-05,117.8,0.3,0.0026,2550.0,-186.0,0.0,-352.0,7918.0,117.65,15626.07031,2294100,60.57142857142857,12235.41016,4574790000,4136.25,4186270000,0.3220510229856024
19,2023-05-08,118.55,0.75,0.0064,6287.0,-1009.0,160.0,67.2,8772.0,118.33,15699.57031,2829600,61.714285714285715,12256.91992,4216360000,4138.120117,3641640000,0.7167122663018696
20,2023-05-09,118.9,0.35,0.003,4828.0,235.0,0.0,1800.0,5793.0,119.07,15727.7002,2864700,63.42857142857143,12179.5498,4126780000,4119.169922,3810140000,0.8334196443984119
21,2023-05-10,117.8,-1.1,-0.009300000000000001,4685.0,-1683.0,-100.0,-392.0,14060.0,118.13,15641.75977,2366700,65.14285714285714,12306.44043,4948260000,4137.640137,4057160000,0.3332147937411095
22,2023-05-11,117.55,-0.25,-0.0021,4032.0,-110.0,100.0,-958.0,9465.0,117.44,15514.63965,2769100,66.85714285714286,12328.50977,4489490000,4130.620117,3752900000,0.4259904912836767
23,2023-05-12,117.2,-0.35,-0.003,4252.0,-1872.0,0.0,-752.0,10633.0,116.88,15502.36035,2711900,68.57142857142857,12284.74023,4170000000,4124.080078,3533740000,0.3998871437976112
24,2023-05-15,117.2,0.0,0.0,4585.0,-1368.0,20.0,-904.0,11605.0,116.81,15475.0498,2444700,72.42857142857143,12365.20996,3979290000,4136.279785,3562170000,0.3950883239982766
25,2023-05-16,118.6,1.4,0.011899999999999999,8154.0,396.0,200.0,2049.0,8206.0,118.42,15673.90039,2617800,72.85714285714286,12343.0498,4067510000,4109.899902,3654200000,0.9936631732878382
26,2023-05-17,120.55,1.95,0.016399999999999998,26760.0,10639.0,0.0,2265.0,19879.0,120.6,15925.29004,3099200,73.28571428571429,12500.57031,4501820000,4158.77002,4039080000,1.3461441722420644
27,2023-05-18,122.15,1.6,0.013300000000000001,23086.0,12793.0,0.0,4717.0,18679.0,122.27,16101.87988,3379800,73.71428571428571,12688.83984,4532890000,4198.049805,3980500000,1.2359334011456715
28,2023-05-19,122.5,0.35,0.0029,34913.0,27958.0,-517.0,1437.0,15521.0,122.75,16174.91992,3955600,74.14285714285714,12657.90039,3935780000,4191.97998,4041900000,2.2494040332452805
29,2023-05-22,122.3,-0.2,-0.0016,18271.0,12878.0,0.0,1392.0,13613.0,122.51,16180.88965,3311200,76.0,12720.78027,4278920000,4192.629883,3728520000,1.3421729229413062
30,2023-05-23,122.2,-0.1,-0.0008,12550.0,6180.0,0.0,2212.0,9154.0,122.42,16188.03027,3041900,77.0,12560.25,4347440000,4145.580078,4155320000,1.3709853615905616
31,2023-05-24,121.6,-0.6,-0.0049,11115.0,7302.0,0.0,595.0,11398.0,121.84,16159.32031,2938400,78.0,12484.16016,4088270000,4115.240234,3739160000,0.9751710826460782
32,2023-05-25,123.05,1.45,0.011899999999999999,12033.0,5155.0,0.0,2408.0,12230.0,123.51,16292.0,3551900,79.0,12698.08984,4651640000,4151.279785,4147760000,0.983892068683565
33,2023-05-26,125.95,2.9,0.0236,25082.0,13106.0,48.0,6180.0,22847.0,126.32,16505.05078,3981600,80.0,12975.69043,4434070000,4205.450195,3715460000,1.0978246596927386
34,2023-05-30,126.75,0.0,0.0,12627.0,8597.0,-200.0,1649.0,11246.0,126.93,16622.74023,3645500,78.85714285714286,13017.42969,4843470000,4205.52002,4228510000,1.1227992174995554
35,2023-05-31,126.15,-0.6,-0.004699999999999999,9229.0,68.6,0.0,3051.0,8924.0,125.99,16578.96094,5023700,77.28571428571429,12935.29004,5905760000,4179.830078,5980670000,1.0341774988794263
36,2023-06-01,125.15,-1.0,-0.0079,4231.0,-536.0,0.0,248.0,9059.0,125.03,16512.65039,3888600,75.71428571428571,13100.98047,4610310000,4221.02002,4391860000,0.4670493431946131
37,2023-06-02,126.75,1.6,0.0128,8412.0,2751.0,0.0,2071.0,8688.0,126.72,16706.91016,4585600,74.14285714285714,13240.76953,4426760000,4282.370117,4454200000,0.9682320441988951
38,2023-06-05,126.35,-0.4,-0.0032,6813.0,-352.0,0.0,1164.0,12612.0,126.26,16714.42969,4575100,75.14285714285714,13229.42969,4344280000,4273.790039,3813290000,0.5401998097050428
39,2023-06-06,126.7,0.35,0.0028000000000000004,6877.0,2056.0,0.0,-468.0,8845.0,126.94,16761.66016,3861900,79.28571428571429,13276.41992,4810910000,4283.850098,3996560000,0.7775014132278123
40,2023-06-07,128.1,1.4,0.011000000000000001,12724.0,8048.0,0.0,2002.0,13016.0,128.42,16922.48047,3721800,83.42857142857143,13104.90039,5270600000,4267.52002,4537800000,0.9775660725261217
41,2023-06-08,126.85,-1.25,-0.0098,5593.0,499.0,0.0,-817.0,11699.0,126.95,16733.68945,3859300,87.57142857142857,13238.51953,4280160000,4293.930176,3826740000,0.47807504914949994
42,2023-06-09,127.8,0.95,0.0075,5862.0,1640.0,0.0,1941.0,6506.0,128.09,16886.40039,3598000,91.71428571428572,13259.13965,4412710000,4298.859863,3786510000,0.90101444820166
43,2023-06-12,129.0,1.2,0.009399999999999999,14319.0,10116.0,230.0,277.0,15620.0,129.15,16955.36914,3731500,95.28571428571429,13461.91992,4722680000,4338.930176,3945670000,0.9167093469910371
44,2023-06-13,131.55,2.55,0.019799999999999998,24674.0,11566.0,2400.0,5432.0,20840.0,131.77,17216.59961,3764800,90.57142857142857,13573.32031,5522100000,4369.009766,4275400000,1.1839731285988484
45,2023-06-14,131.5,-0.05,-0.0004,7065.0,3524.0,-201.0,104.0,9345.0,131.66,17238.14063,4290400,85.85714285714286,13626.48047,5772550000,4372.589844,4252110000,0.7560192616372392
46,2023-06-15,131.9,0.4,0.003,11515.0,5959.0,0.0,520.0,11361.0,132.31,17334.98047,4893200,81.14285714285714,13782.82031,5667520000,4425.839844,4176690000,1.0135551447935922
47,2023-06-16,131.55,-0.35,-0.0027,7587.0,-10.6,0.0,-273.0,10734.0,131.85,17288.91016,6203100,76.42857142857143,13689.57031,8076530000,4409.589844,6848600000,0.7068194522079374
48,2023-06-20,130.55,-0.7,-0.0053,6967.0,-1783.0,-200.0,3026.0,11014.0,131.18,17184.91016,4185300,67.57142857142857,13667.29004,5237710000,4388.709961,4055790000,0.6325585618303977
49,2023-06-21,130.55,0.0,0.0,26908.0,14267.0,-500.0,-11437.0,19627.0,131.01,17202.40039,4354900,67.85714285714286,13502.2002,5194640000,4365.689941,3709330000,1.370968563713252
50,2023-06-26,129.75,-0.8,-0.0060999999999999995,7961.0,-3430.0,0.0,1332.0,14775.0,129.76,17059.24023,3970000,72.14285714285714,13335.78027,4430600000,4328.819824,3415030000,0.5388155668358714
51,2023-06-27,128.9,-0.85,-0.0066,7066.0,2120.0,-80.0,-2073.0,11856.0,129.08,16887.90039,4028700,75.28571428571429,13555.66992,5053660000,4378.410156,3573500000,0.5959851551956815
52,2023-06-28,129.1,0.2,0.0016,5944.0,-40.3,-205.0,1655.0,6875.0,129.47,16935.63086,3256100,78.42857142857143,13591.75,4533270000,4376.859863,3739330000,0.8645818181818182
53,2023-06-29,129.05,-0.05,-0.0004,6037.0,-1390.0,0.0,1459.0,8210.0,129.28,16942.30078,3357100,81.57142857142857,13591.33008,4388140000,4396.439941,3696660000,0.7353227771010962
54,2023-06-30,129.1,0.05,0.0004,7504.0,-2842.0,-131.0,1415.0,11593.0,129.46,16915.53906,3542500,84.71428571428571,13787.91992,4661120000,4450.379883,3923450000,0.6472871560424394
55,2023-10-02,124.25,1.6,0.013000000000000001,6751.0,-1093.0,300.0,2007.0,9457.0,124.4,16557.31055,2669600,64.28571428571429,13307.76953,4554700000,4288.390137,3938660000,0.7138627471714074
56,2023-10-03,123.5,-0.75,-0.006,5464.0,-1994.0,0.0,-364.0,9863.0,123.62,16454.33984,2697100,61.57142857142857,13059.46973,4684310000,4229.450195,3953830000,0.5539896583189698
57,2023-10-04,121.9,-1.6,-0.013000000000000001,12322.0,-8262.0,0.0,375.0,23810.0,122.02,16273.37988,2624800,58.85714285714286,13236.00977,4308070000,4263.75,3777600000,0.5175136497270054
58,2023-10-05,123.65,1.75,0.0144,4411.0,553.0,0.0,858.0,8646.0,123.57,16453.51953,2503200,56.14285714285714,13219.83008,4167470000,4258.189941,3581470000,0.510178117048346
59,2023-10-06,124.1,0.45,0.0036,5059.0,-237.0,104.0,342.0,6632.0,124.29,16520.57031,2296800,53.42857142857143,13431.33984,4309420000,4308.5,3902030000,0.762816646562123
60,2023-10-11,126.25,2.15,0.0173,14193.0,5655.0,0.0,3645.0,15854.0,126.3,16672.0293,3635100,57.42857142857143,13659.67969,4160440000,4376.950195,3601660000,0.8952314873218116
61,2023-10-12,127.3,1.05,0.0083,14897.0,9556.0,50.0,1592.0,12866.0,127.37,16825.91016,2917100,60.57142857142857,13574.21973,4858620000,4349.609863,3713140000,1.157857920099487
62,2023-10-13,126.95,-0.35,-0.0027,6626.0,1627.0,0.0,-645.0,7770.0,127.32,16782.57031,2955800,63.714285714285715,13407.23047,4251550000,4327.779785,3566560000,0.8527670527670528
63,2023-10-16,126.25,-0.7,-0.0055000000000000005,8161.0,-1725.0,150.0,-1764.0,12161.0,126.24,16652.24023,2843500,70.85714285714286,13567.98047,4308690000,4373.629883,3409960000,0.6710796809472905
64,2023-10-17,126.55,0.3,0.0024,7017.0,-2554.0,0.0,-1138.0,4946.0,126.52,16642.55078,2965400,71.71428571428571,13533.75,4417640000,4373.200195,3794850000,1.4187221997573798
65,2023-10-18,124.8,-1.75,-0.0138,10456.0,-7633.0,20.0,3026.0,12920.0,124.79,16440.91016,3844900,72.57142857142857,13314.2998,4617140000,4314.600098,3686030000,0.8092879256965945
66,2023-10-19,124.85,0.05,0.0004,8052.0,-431.0,225.0,3729.0,5999.0,125.16,16452.73047,2608200,73.42857142857143,13186.17969,5014790000,4278.0,3969730000,1.3422237039506584
67,2023-10-20,125.4,0.55,0.0044,4698.0,-2243.0,0.0,704.0,8889.0,125.69,16440.7207,3035200,74.28571428571429,12983.80957,4622840000,4224.160156,4004030000,0.528518393520081
68,2023-10-23,123.85,-1.55,-0.0124,8729.0,-6057.0,200.0,-421.0,17221.0,123.73,16251.36035,2273100,75.42857142857143,13018.33008,4669060000,4217.040039,3776100000,0.5068811334997968
69,2023-10-24,123.95,0.1,0.0008,7672.0,-4579.0,0.0,699.0,12393.0,123.81,16309.75977,2642000,74.85714285714286,13139.87012,4604720000,4247.680176,3821820000,0.6190591462922618
70,2023-10-25,124.2,0.25,0.002,4229.0,115.0,0.0,-1039.0,6992.0,123.99,16358.88965,2667800,74.28571428571429,12821.21973,4599850000,4186.77002,3869370000,0.6048340961098398
71,2023-10-26,121.75,-2.45,-0.0197,24073.0,-17877.0,100.0,-2864.0,41829.0,121.71,16073.74023,2572100,73.71428571428571,12595.61035,4894900000,4137.22998,4277640000,0.5755098137655693
72,2023-10-27,122.3,0.55,0.0045000000000000005,4414.0,-1472.0,0.0,131.0,8453.0,122.21,16134.61035,2142800,73.14285714285714,12643.00977,4172100000,4117.370117,4019500000,0.5221814740328877
73,2023-10-30,122.0,-0.3,-0.0025,9793.0,-6580.0,300.0,-208.0,14083.0,122.12,16149.67969,2250800,72.28571428571429,12789.48047,4149320000,4166.819824,3911140000,0.6953774053823759
74,2023-10-31,121.15,-0.85,-0.006999999999999999,11953.0,-8753.0,0.0,-997.0,23607.0,121.38,16001.26953,2703600,72.57142857142857,12851.24023,4315630000,4193.799805,4249470000,0.506332867369848
75,2023-11-01,121.75,0.6,0.005,4851.0,-2199.0,0.0,-667.0,9873.0,121.48,16038.55957,2183800,72.85714285714286,13061.46973,4545120000,4237.859863,4224900000,0.49134001823154055
76,2023-11-02,124.5,2.75,0.0226,10198.0,3100.0,0.0,440.0,9411.0,124.73,16396.94922,2464200,73.14285714285714,13294.19043,4962950000,4317.779785,4669780000,1.0836255445754968
77,2023-11-03,125.45,0.95,0.0076,9126.0,4947.0,45.0,227.0,10102.0,125.56,16507.65039,2809400,73.42857142857143,13478.28027,4918750000,4358.339844,4570960000,0.903385468224114
78,2023-11-06,126.55,1.1,0.0088,16724.0,7349.0,210.0,-977.0,18001.0,126.3,16649.35938,2709700,74.57142857142857,13518.78027,4345850000,4365.97998,3656340000,0.9290594966946281
79,2023-11-07,126.5,-0.05,-0.0004,6787.0,3470.0,199.0,786.0,6880.0,126.76,16684.94922,2180100,75.14285714285714,13639.86035,4354460000,4378.379883,3791230000,0.9864825581395349
80,2023-11-08,127.2,0.7,0.0055000000000000005,11598.0,8123.0,25.0,450.0,10111.0,127.19,16740.83008,2664300,75.71428571428571,13650.41016,4685550000,4382.779785,3729510000,1.1470675501928593
81,2023-11-09,127.25,0.05,0.0004,6557.0,3035.0,30.0,1268.0,6909.0,127.34,16745.65039,2433800,76.28571428571429,13521.4502,5313970000,4347.350098,3900780000,0.9490519612100159
82,2023-11-10,126.75,-0.5,-0.0039000000000000003,4554.0,-736.0,0.0,921.0,8757.0,126.92,16682.66992,2157500,76.85714285714286,13798.11035,4722140000,4415.240234,3665080000,0.5200411099691675
83,2023-11-13,128.7,1.95,0.0154,26195.0,13001.0,-48.0,5069.0,17363.0,128.74,16839.28906,2512400,77.71428571428571,13767.74023,4349590000,4411.549805,3326240000,1.5086678569371652
84,2023-11-14,129.0,0.3,0.0023,20924.0,10709.0,0.0,2684.0,14287.0,129.19,16915.71094,2619800,77.42857142857143,14094.37988,5332490000,4495.700195,4700350000,1.4645481906628404
85,2023-11-15,130.55,1.55,0.012,23631.0,15343.0,400.0,2335.0,19145.0,130.9,17128.7793,3950300,77.14285714285714,14103.83984,5063830000,4502.879883,4347170000,1.2343170540611126
86,2023-11-16,130.6,0.05,0.0004,18985.0,9114.0,0.0,-1104.0,13230.0,131.09,17171.17969,3308400,76.85714285714286,14113.66992,4545180000,4508.240234,3964520000,1.4349962207105065
87,2023-11-17,131.0,0.4,0.0031,27988.0,19922.0,75.0,-8405.0,14272.0,131.09,17208.94922,3186300,76.57142857142857,14125.48047,4408640000,4514.02002,3777240000,1.9610426008968609
88,2023-11-20,130.95,-0.05,-0.0004,8982.0,3817.0,80.0,-3114.0,9185.0,130.91,17210.4707,3044800,75.0,14284.53027,4561810000,4547.379883,3644790000,0.9778987479586282
89,2023-11-21,132.55,1.6,0.012199999999999999,29657.0,24601.0,0.0,-5484.0,20483.0,132.79,17416.69922,3727100,74.0,14199.98047,4128600000,4538.189941,3511080000,1.4478836107991992
90,2023-11-22,131.35,-1.2,-0.0091,6466.0,643.0,0.0,-741.0,8435.0,131.61,17310.25977,3167500,73.0,14265.86035,3855240000,4556.620117,3042810000,0.7665678719620629
91,2023-11-24,131.2,-0.1,-0.0008,13468.0,3570.0,10.0,-180.0,4898.0,131.33,17287.41992,3037300,71.0,14250.84961,2541840000,4559.339844,1639500000,2.749693752552062
92,2023-11-27,130.35,-0.85,-0.006500000000000001,9898.0,-2209.0,0.0,629.0,13117.0,130.09,17137.41992,3164500,68.57142857142857,14241.01953,4205880000,4550.430176,3403990000,0.7545932759015018
93,2023-11-28,131.25,0.9,0.0069,9871.0,2116.0,0.0,2448.0,8229.0,131.44,17341.25,3435400,68.14285714285714,14281.75977,4474400000,4554.890137,3586240000,1.1995382184955645
94,2023-11-29,131.15,-0.1,-0.0008,6857.0,2494.0,0.0,712.0,6371.0,131.48,17370.56055,3414100,67.71428571428571,14258.49023,4890220000,4550.580078,4418760000,1.0762831580599592
95,2023-11-30,131.35,0.2,0.0015,11142.0,6955.0,0.0,-1030.0,7269.0,131.97,17433.84961,4478400,67.28571428571429,14226.21973,5678070000,4567.799805,5399300000,1.532810565414775
96,2023-12-01,131.8,0.45,0.0034000000000000002,5597.0,-78.5,0.0,367.0,7516.0,131.9,17438.34961,3399000,66.85714285714286,14305.03027,5607000000,4594.629883,4397120000,0.7446780202235231
97,2023-12-04,131.3,-0.5,-0.0038,4697.0,-1134.0,0.0,-392.0,8297.0,131.39,17421.48047,3929200,66.57142857142857,14185.49023,6270020000,4569.779785,4369910000,0.566108231891045
98,2023-12-05,130.35,-0.95,-0.0072,5239.0,-1140.0,0.0,-1363.0,11762.0,130.6,17328.00977,3623500,67.14285714285714,14229.91016,6179120000,4567.180176,3909950000,0.4454174460125829
99,2023-12-06,130.8,0.45,0.0034999999999999996,7348.0,-433.0,0.0,711.0,6585.0,130.77,17360.7207,3307100,67.71428571428571,14146.70996,5167030000,4549.339844,4245680000,1.1158694001518603
100,2023-12-07,130.0,-0.8,-0.0060999999999999995,3015.0,-587.0,0.0,-1028.0,7413.0,130.07,17278.74023,3368200,68.28571428571429,14339.99023,5694310000,4585.589844,3818880000,0.4067179279643869
101,2023-12-08,131.05,1.05,0.008100000000000001,13264.0,9108.0,0.0,-4023.0,7072.0,130.92,17383.99023,3155300,68.85714285714286,14403.96973,5430840000,4604.370117,3707010000,1.8755656108597285
102,2023-12-11,131.2,0.15,0.0011,3511.0,-770.0,0.0,-56.8,9233.0,131.36,17418.33984,3003300,70.42857142857143,14432.49023,5607820000,4622.439941,3823210000,0.3802664356113939
103,2023-12-12,131.5,0.3,0.0023,5726.0,1605.0,5.0,1772.0,5918.0,131.72,17450.63086,3356500,70.85714285714286,14533.40039,4950100000,4643.700195,3808380000,0.9675566069618114
104,2023-12-13,131.55,0.05,0.0004,3170.0,-112.0,0.0,-223.0,5792.0,131.8,17468.92969,3410000,71.28571428571429,14733.95996,6732040000,4707.089844,5063650000,0.5473066298342542
105,2023-12-14,133.15,1.6,0.012199999999999999,32957.0,25306.0,0.0,-9826.0,16680.0,133.63,17653.10938,4072600,71.71428571428571,14761.55957,8033170000,4719.549805,6314040000,1.9758393285371703
106,2023-12-15,133.7,0.55,0.0040999999999999995,18914.0,15086.0,0.0,-5175.0,13945.0,133.99,17673.86914,5019300,72.14285714285714,14813.91992,8377630000,4719.189941,8218980000,1.3563284331301542
107,2023-12-18,133.9,0.2,0.0015,7067.0,1446.0,200.0,-1391.0,9533.0,133.93,17652.0293,3975400,72.85714285714286,14904.80957,5866080000,4740.560059,4060340000,0.7413196265603692
108,2023-12-19,133.4,-0.5,-0.0037,5870.0,1770.0,0.0,-1488.0,8618.0,133.66,17576.55078,3914800,72.71428571428571,15003.21973,5757180000,4768.370117,4026970000,0.6811325133441634
109,2023-12-20,133.75,0.35,0.0026,6964.0,5124.0,0.0,-2267.0,7452.0,133.74,17635.19922,4182900,72.57142857142857,14777.94043,6294700000,4698.350098,4201320000,0.9345142243692969
110,2023-12-21,132.6,-1.15,-0.0086,5619.0,-215.0,-94.0,-839.0,7953.0,132.7,17543.74023,4021800,72.42857142857143,14963.87012,5465640000,4746.75,3431180000,0.7065258393059223
111,2023-12-22,132.95,0.35,0.0026,6358.0,4626.0,0.0,-1044.0,4882.0,133.32,17596.63086,3700300,72.28571428571429,14992.96973,4796600000,4754.629883,3046770000,1.3023351085620647
112,2023-12-26,134.25,0.75,0.005600000000000001,17327.0,13097.0,0.0,-3911.0,11845.0,134.55,17751.73047,2900000,73.42857142857143,15074.57031,6120600000,4774.75,2513910000,1.462811312790207
113,2023-12-27,135.75,1.5,0.011200000000000002,30857.0,25969.0,0.0,-13253.0,16671.0,135.94,17891.5,3378000,74.14285714285714,15099.17969,7480170000,4781.580078,2748450000,1.8509387559234598
114,2023-12-28,135.75,0.0,0.0,15353.0,12180.0,0.0,-6628.0,9803.0,136.1,17910.36914,3289700,74.85714285714286,15095.13965,5090570000,4783.350098,2698860000,1.5661532184025297
115,2023-12-29,135.45,-0.3,-0.0022,13407.0,8550.0,0.0,-3717.0,7710.0,136.2,17930.81055,2868000,75.57142857142857,15011.34961,5441060000,4769.830078,3126060000,1.738910505836576
